id_tweets,sentiment_mistral,prompt
1,neutral,1
1,neutral,2
1,neutral,3
1,neutral,4
1,neutral,5
1,neutral,6
1,neutral,7
1,neutral,8
2,negative,1
2,negative,2
2,negative,3
2,negative,4
2,negative,5
2,negative,6
2,negative,7
2,negative,8
3,negative,1
3,negative,2
3,negative,3
3,negative,4
3,negative,5
3,negative,6
3,negative,7
3,negative,8
4,negative,1
4,negative,2
4,negative,3
4,negative,4
4,negative,5
4,negative,6
4,negative,7
4,negative,8
5,neutral,1
5,neutral,2
5,neutral,3
5,neutral,4
5,neutral,5
5,neutral,6
5,neutral,7
5,neutral,8
7,negative,1
7,negative,2
7,negative,3
7,negative,4
7,negative,5
7,negative,6
7,negative,7
7,negative,8
8,positive,1
8,positive,2
8,positive,3
8,positive,4
8,positive,5
8,positive,6
8,positive,7
8,positive,8
9,neutral,1
9,neutral,2
9,neutral,3
9,negative,4
9,negative,5
9,negative,6
9,negative,7
9,negative,8
10,positive,1
10,positive,2
10,positive,3
10,positive,4
10,positive,5
10,positive,6
10,positive,7
10,positive,8
13,neutral,1
13,neutral,2
13,neutral,3
13,neutral,4
13,negative,5
13,negative,6
13,negative,7
13,neutral,8
14,negative,1
14,negative,2
14,negative,3
14,negative,4
14,negative,5
14,negative,6
14,negative,7
14,negative,8
15,neutral,1
15,neutral,2
15,neutral,3
15,neutral,4
15,neutral,5
15,neutral,6
15,neutral,7
15,neutral,8
17,negative,1
17,negative,2
17,negative,3
17,negative,4
17,negative,5
17,negative,6
17,negative,7
17,negative,8
18,positive,1
18,positive,2
18,positive,3
18,positive,4
18,positive,5
18,positive,6
18,positive,7
18,positive,8
20,neutral,1
20,positive,2
20,neutral,3
20,positive,4
20,positive,5
20,neutral,6
20,positive,7
20,neutral,8
21,neutral,1
21,neutral,2
21,neutral,3
21,neutral,4
21,neutral,5
21,neutral,6
21,neutral,7
21,neutral,8
25,positive,1
25,positive,2
25,neutral,3
25,positive,4
25,neutral,5
25,neutral,6
25,positive,7
25,neutral,8
26,positive,1
26,positive,2
26,neutral,3
26,positive,4
26,neutral,5
26,neutral,6
26,positive,7
26,positive,8
27,positive,1
27,positive,2
27,neutral,3
27,neutral,4
27,neutral,5
27,neutral,6
27,neutral,7
27,neutral,8
28,negative,1
28,negative,2
28,negative,3
28,negative,4
28,negative,5
28,negative,6
28,negative,7
28,negative,8
30,neutral,1
30,neutral,2
30,neutral,3
30,neutral,4
30,neutral,5
30,neutral,6
30,neutral,7
30,neutral,8
31,neutral,1
31,neutral,2
31,neutral,3
31,neutral,4
31,neutral,5
31,neutral,6
31,neutral,7
31,neutral,8
32,positive,1
32,positive,2
32,positive,3
32,positive,4
32,positive,5
32,positive,6
32,positive,7
32,positive,8
33,neutral,1
33,neutral,2
33,neutral,3
33,neutral,4
33,neutral,5
33,neutral,6
33,neutral,7
33,neutral,8
34,negative,1
34,negative,2
34,negative,3
34,negative,4
34,negative,5
34,negative,6
34,negative,7
34,negative,8
36,neutral,1
36,neutral,2
36,neutral,3
36,neutral,4
36,neutral,5
36,neutral,6
36,neutral,7
36,neutral,8
37,neutral,1
37,neutral,2
37,neutral,3
37,neutral,4
37,neutral,5
37,neutral,6
37,neutral,7
37,neutral,8
39,neutral,1
39,neutral,2
39,neutral,3
39,neutral,4
39,neutral,5
39,neutral,6
39,neutral,7
39,neutral,8
40,neutral,1
40,neutral,2
40,negative,3
40,negative,4
40,negative,5
40,negative,6
40,negative,7
40,neutral,8
41,neutral,1
41,neutral,2
41,neutral,3
41,neutral,4
41,neutral,5
41,neutral,6
41,neutral,7
41,neutral,8
43,neutral,1
43,neutral,2
43,negative,3
43,negative,4
43,negative,5
43,negative,6
43,negative,7
43,neutral,8
44,positive,1
44,positive,2
44,positive,3
44,positive,4
44,positive,5
44,positive,6
44,positive,7
44,positive,8
45,neutral,1
45,neutral,2
45,negative,3
45,negative,4
45,negative,5
45,negative,6
45,negative,7
45,negative,8
46,positive,1
46,positive,2
46,positive,3
46,positive,4
46,positive,5
46,positive,6
46,positive,7
46,positive,8
47,neutral,1
47,negative,2
47,neutral,3
47,neutral,4
47,neutral,5
47,neutral,6
47,negative,7
47,neutral,8
50,neutral,1
50,neutral,2
50,neutral,3
50,negative,4
50,negative,5
50,negative,6
50,neutral,7
50,neutral,8
51,neutral,1
51,neutral,2
51,negative,3
51,negative,4
51,negative,5
51,negative,6
51,positive,7
51,negative,8
54,negative,1
54,negative,2
54,negative,3
54,negative,4
54,negative,5
54,negative,6
54,negative,7
54,negative,8
57,neutral,1
57,neutral,2
57,neutral,3
57,neutral,4
57,neutral,5
57,neutral,6
57,neutral,7
57,neutral,8
58,negative,1
58,neutral,2
58,negative,3
58,negative,4
58,negative,5
58,negative,6
58,negative,7
58,negative,8
59,positive,1
59,positive,2
59,positive,3
59,positive,4
59,neutral,5
59,neutral,6
59,positive,7
59,neutral,8
60,neutral,1
60,neutral,2
60,neutral,3
60,neutral,4
60,neutral,5
60,neutral,6
60,neutral,7
60,neutral,8
61,neutral,1
61,neutral,2
61,neutral,3
61,positive,4
61,positive,5
61,neutral,6
61,neutral,7
61,neutral,8
62,positive,1
62,neutral,2
62,neutral,3
62,neutral,4
62,neutral,5
62,neutral,6
62,neutral,7
62,neutral,8
63,positive,1
63,positive,2
63,neutral,3
63,positive,4
63,positive,5
63,neutral,6
63,positive,7
63,positive,8
64,neutral,1
64,neutral,2
64,neutral,3
64,neutral,4
64,neutral,5
64,neutral,6
64,neutral,7
64,neutral,8
65,neutral,1
65,neutral,2
65,neutral,3
65,neutral,4
65,neutral,5
65,neutral,6
65,neutral,7
65,neutral,8
66,neutral,1
66,neutral,2
66,neutral,3
66,neutral,4
66,neutral,5
66,neutral,6
66,positive,7
66,neutral,8
67,neutral,1
67,neutral,2
67,neutral,3
67,negative,4
67,negative,5
67,negative,6
67,negative,7
67,negative,8
68,negative,1
68,negative,2
68,negative,3
68,negative,4
68,negative,5
68,negative,6
68,negative,7
68,negative,8
69,neutral,1
69,neutral,2
69,neutral,3
69,neutral,4
69,neutral,5
69,neutral,6
69,neutral,7
69,neutral,8
70,neutral,1
70,neutral,2
70,neutral,3
70,neutral,4
70,neutral,5
70,neutral,6
70,neutral,7
70,neutral,8
76,neutral,1
76,neutral,2
76,neutral,3
76,neutral,4
76,neutral,5
76,neutral,6
76,neutral,7
76,neutral,8
77,neutral,1
77,neutral,2
77,positive,3
77,positive,4
77,positive,5
77,positive,6
77,positive,7
77,positive,8
78,negative,1
78,negative,2
78,negative,3
78,negative,4
78,negative,5
78,negative,6
78,negative,7
78,negative,8
79,positive,1
