Model,Prompt,Negative,Neutral,Positive
GPT 3.5,0,27.697841726618705,35.97122302158273,36.330935251798564
GPT 4,0,12.589928057553957,74.10071942446042,13.309352517985612
Mistral,0,16.967509025270758,68.59205776173285,14.440433212996389
Mixtral,0,27.075812274368232,59.56678700361011,13.357400722021662
GPT 3.5,1,34.89208633093525,34.89208633093525,30.215827338129497
GPT 4,1,12.589928057553957,76.97841726618705,10.431654676258994
Mistral,1,16.60649819494585,68.59205776173285,14.801444043321299
Mixtral,1,35.018050541516246,48.014440433213,16.967509025270758
GPT 3.5,3,7.553956834532374,85.25179856115108,7.1942446043165464
GPT 4,3,10.469314079422382,81.2274368231047,8.303249097472925
Mistral,3,22.382671480144403,62.454873646209386,15.162454873646208
Mixtral,3,26.353790613718413,66.78700361010831,6.859205776173286
GPT 3.5,4,8.633093525179856,80.57553956834532,10.79136690647482
GPT 4,4,8.633093525179856,80.2158273381295,11.151079136690647
Mistral,4,27.79783393501805,56.317689530685925,15.884476534296029
Mixtral,4,16.60649819494585,75.09025270758123,8.303249097472925
GPT 3.5,5,8.992805755395683,81.29496402877699,9.712230215827338
GPT 4,5,7.553956834532374,79.85611510791367,12.589928057553957
Mistral,5,29.96389891696751,53.79061371841155,16.24548736462094
Mixtral,5,11.552346570397113,80.50541516245488,7.9422382671480145
GPT 3.5,6,9.352517985611511,78.77697841726618,11.870503597122301
GPT 4,6,8.273381294964029,80.57553956834532,11.151079136690647
Mistral,6,28.158844765342963,56.317689530685925,15.523465703971121
Mixtral,6,14.079422382671481,79.42238267148014,6.4981949458483745
GPT 3.5,7,36.69064748201439,51.798561151079134,11.510791366906476
GPT 4,7,6.83453237410072,83.09352517985612,10.071942446043165
Mistral,7,21.660649819494584,54.151624548736464,24.187725631768952
Mixtral,7,14.440433212996389,76.53429602888086,9.025270758122744
GPT 3.5,8,5.755395683453238,78.77697841726618,15.467625899280577
GPT 4,8,6.115107913669065,79.49640287769785,14.388489208633093
Mistral,8,23.826714801444044,59.92779783393502,16.24548736462094
Mixtral,8,12.996389891696749,74.36823104693141,12.63537906137184
